Headline,,scope,category
ওয়ালটন প্যাভিলিয়নে থাকছে সেলফি কর্নার,,national,business
বাংলাদেশের সঙ্গে এফটিএ সই করতে আগ্রহী ফিলিস্তিন: বাণিজ্যমন্ত্রী,,national,business
"যুক্তরাষ্ট্রে বাংলাদেশি পোশাক রফতানিতে চমক, প্রবৃদ্ধি ২৬.৬৪ শতাংশ",,national,business
এলডিসি গ্র্যাজুয়েশনের পর অর্থনীতির ধাক্কা সামলাতে সক্ষমতা বাড়াতে হবে: বাণিজ্য উপদেষ্টা,,national,business
আইসিএবি অ্যাওয়ার্ড পেয়েছে ইসলামী ব্যাংক,,national,business
কৃষিঋণেও সিআইবি রিপোর্ট বাধ্যতামূলক,,national,business
পদত্যাগ করলেন ব্যাংক এশিয়ার এমডি আদিল চৌধুরী,,national,business
জেলা পর্যায়ে বিসিক নগরীতে অব্যবহৃত প্লট বাতিলের নির্দেশ শিল্পমন্ত্রীর,,national,business
আরও ৩ ব্যাংক অনুমোদন পেতে পারে আজ,,national,business
পিটিএ চুক্তিতে রাজি ইন্দোনেশিয়া: শিল্পমন্ত্রী,,national,business
বেস্ট ব্র্যান্ড অ্যাওয়ার্ড পেলো সিম্ফনি মোবাইল,,national,business
আর্মি গলফ ক্লাবে সোলার প্যানেল স্থাপন করলো ম্যাক্স গ্রুপ,,national,business
জ্বালানি সহযোগিতায় ইইউ-র ধারণার সঙ্গে একমত নয় বাংলাদেশ,,national,business
আবাসনে ‘কালো টাকা’ বিনিয়োগের সুযোগ রাখার দাবি,,national,business
প্লাস্টিক খাতের করপোরেট ও উৎসে কর কমানোর দাবি,,national,business
এসএমই খাতের নীতিকৌশল জানতে যুক্তরাষ্ট্র ও কানাডা সফরে শিল্পমন্ত্রী,,national,business
রফতানিতে নগদ সহায়তা পাবে প্রক্রিয়াকৃত মাংসজাতসহ ৪৩ পণ্য,,national,business
লোকাল গার্মেন্টস ব্র্যান্ডের বিক্রি বাড়লেও টিকে থাকা কঠিন,,national,business
লিটারে ১৪ টাকা বাড়লো সয়াবিন তেলের দাম,,national,business
পাকিস্তান থেকে খেজুর-কমলাসহ ফল আমদানির সম্ভাবনা দেখছে এফবিসিসিআই,,national,business
বাংলাদেশকে যেন মধ্যম আয়ের ফাঁদে পড়তে না হয়: সালমান এফ রহমান,,national,business
পাল্লাবাজারে এনআরবি ব্যাংকের শাখা উদ্বোধন,,national,business
বাজারে ওয়ালটনের ‘ইন্টিলিজেন্ট ইনভার্টার’ প্রযুক্তির ফ্রিজ,,national,business
‘গ্যাসের দাম বাড়ানো হলে বন্ধ হয়ে যাবে শিল্প কারখানা’,,national,business
ইপিজেডে ট্রেড ইউনিয়ন করতে না দেওয়ার শর্ত আছে: বাণিজ্যমন্ত্রী,,national,business
ব্র্যাক ব্যাংকের নতুন ডিএমডি মুস্তাফিজুর রহমান,,national,business
৩৯ হাজার টন চাল নিয়ে চট্টগ্রাম বন্দরে ২ জাহাজ,,national,business
আরও দুইটি সবুজ কারখানার স্বীকৃতি পেলো বাংলাদেশ,,national,business
দেশের অস্থিরতায় স্বস্তি নেই ফার্নিচার শিল্পে,,national,business
অর্থপাচার ঠেকাতে নতুন বিভাগ খুললো কেন্দ্রীয় ব্যাংক,,national,business
বিদ্যুতের বর্ধিত দাম কার্যকর হবে ফেব্রুয়ারি থেকেই,,national,business
পর্যটন বিকাশে সরকার সর্বোচ্চ গুরুত্ব দিচ্ছে: মেনন,,national,business
রমজানে ইলেকট্রনিক্স পণ্যের চাহিদা পূরণে প্রস্তুত মার্সেল,,national,business
"রিকন্ডিশনড গাড়ির বাজারে খরা, নির্বাচনের অপেক্ষায় ব্যবসায়ীরা",,national,business
লেদারটেকের চতুর্থ আসর শুরু বৃহস্পতিবার,,national,business
ব্যবসায়ীদের দাবিতেই কালো টাকা সাদা করার সুযোগ: এনবিআর চেয়ারম্যান,,national,business
বিকেএমইএ’র সঙ্গে সিয়েরালিওনের প্রতিনিধি দলের মতবিনিময়,,national,business
ধান উৎপাদন ৩০ শতাংশ কম হওয়ার আশঙ্কা বিশেষজ্ঞদের,,national,business
পর্যটনশিল্প অগ্রাধিকারখাত হিসেবে বিবেচিত: শিল্পমন্ত্রী,,national,business
পুঁজিবাজারের ফ্লোর প্রাইস তুলে দিতে চাই: শিবলী রুবাইয়াত,,national,business
শীর্ষ ব্র্যান্ডকে ‘বেস্ট ব্র্যান্ড অ্যাওয়ার্ড’ দিল বিবিএফ,,national,business
প্রসাধনীসহ বিভিন্ন বিলাসী পণ্যে বাড়তি শুল্ক আরোপ,,national,business
প্রকৌশল যন্ত্র উৎপাদনে ইউনিডোর কারিগরি সহায়তা চাইলেন শিল্পমন্ত্রী,,national,business
টেকসই উন্নয়নে অনগ্রসরদের সম্পৃক্ত করতে হবে: মুস্তফা কামাল,,national,business
যে তিন কারণে মুনাফা কমছে গার্মেন্টস শিল্পে,,national,business
মোবাইল ফোন শিল্প স্থাপনে দৃঢ় প্রতিজ্ঞ ওয়ালটন,,national,business
আইএমএফের শর্ত পূরণের পরীক্ষায় পাস করেছে বাংলাদেশ: অর্থমন্ত্রী,,national,business
বিশ্বকাপ উপলক্ষে ওয়ালটন টিভির চাহিদা বেড়েছে,,national,business
‘দেশের অর্থনৈতিক উন্নয়নে কাজ করছে ইসলামী ব্যাংক’,,national,business
এশিয়ান ব্যাংকার পুরস্কার পেলেন ইসলামী ব্যাংকের এমডি,,national,business
সচিত্র স্বাস্থ্য সতর্কবাণী বাস্তবায়ন সভায় নেই স্বাস্থ্য মন্ত্রণালয়!,,national,business
রাজশাহীতে ইউনাইটেড হাসপাতালের বৈজ্ঞানিক সেমিনার অনুষ্ঠিত,,national,business
বাংলাদেশের অভিজ্ঞতা অন্যদের জন্য ফলপ্রসূ হতে পারে: শিল্প সচিব,,national,business
গ্লোবাল লিফ্ট ও এস্কেলেটর মেলা শুরু,,national,business
শ্রমিকদের দক্ষতা বাড়াতে সহযোগিতা করবে কোরিয়া,,national,business
ভোটের হাওয়ায় আরও গতি পাবে অর্থনীতি?,,national,business
২০২১ পর্যন্ত ‘প্যাকেজ ভ্যাট’ চায় ঢাকা চেম্বার,,national,business
মানসম্মত সেবা ছাড়া ব্যাংকের উন্নয়ন সম্ভব না,,national,business
পাটের বস্তা ব্যবহার নিশ্চিতে বিশেষ অভিযান: মির্জা আজম,,national,business
বর্ষপূর্তিতে ইনফিনিক্স মোবাইলে ছাড় দিচ্ছে দারাজ,,national,business
প্রায় সাড়ে ৩ লাখ টন চাল আমদানির অনুমতি,,national,business
বাংলাদেশে বিদেশি বিনিয়োগের সুরক্ষা নিশ্চিত করা হয়েছে: শিল্পমন্ত্রী,,national,business
কল-কারখানায় লোকসান কমাতে হবে: শিল্প সচিব,,national,business
বিক্রয়োত্তর সেবায় লোকবল বাড়িয়েছে ওয়ালটন,,national,business
বাংলাদেশ-জাপানের মধ্যে মুক্তবাণিজ্য চুক্তির সম্ভাব্যতা যাচাইয়ে সমীক্ষা শুরু,,national,business
প্রতিযোগিতায় টিকতে পূর্ণাঙ্গ টেস্টিং ল্যাবরেটরি প্রয়োজন,,national,business
যুক্তরাষ্ট্রের উদ্যোক্তাদের বাংলাদেশে বিনিয়োগের আহ্বান শিল্পমন্ত্রীর,,national,business
বাংলাদেশ ছাড়ছে না অ্যাকর্ডভুক্ত পোশাক ক্রেতারা,,national,business
ওয়ালটনের নতুন চমক ‘বুম বক্স’,,national,business
"রিটার্ন জমা দেওয়ার সময় আরও ১৬ দিন বাড়লো, প্রজ্ঞাপন জারি",,national,business
এফবিসিসিআই’র নির্বাচন স্থগিতের রায়ের বিরুদ্ধে আপিল শুনানি বৃহস্পতিবার,,national,business
ব্রেক্সিটের প্রভাব: ট্যারিফ কমিশনের প্রতিবেদন চেয়েছে বাণিজ্য মন্ত্রণালয়,,national,business
আবারও শিল্প-কারখানা খুলে দেওয়ার দাবি গার্মেন্টস মালিকদের,,national,business
বাংলাদেশকে ১০০ মিলিয়ন ডলার বাজেট সহায়তা দিচ্ছে ওপেক ফান্ড,,national,business
খেলাপির সহযোগী প্রতিষ্ঠানে চলমান ঋণ বন্ধ না করার দাবি বিজিএমইএর,,national,business
কাতার থেকে এলএনজি গ্যাস আমদানির সিদ্ধান্ত প্রক্রিয়াধীন: বাণিজ্যমন্ত্রী,,national,business
বাজারে ওয়ালটনের সপ্তম প্রজন্মের ল্যাপটপ,,national,business
‘গ্লোবাল ফাইন্যান্স অ্যাওয়ার্ড’ পেল এমআইএসবিএল,,national,business
করোনার ক্ষতি কাটিয়ে স্বমহিমায় ফিরছে বাংলাদেশ,,national,business
মঙ্গলবার যেসব এলাকায় গ্যাসের চাপ কম থাকবে,,national,business
পাটকাঠি থেকে অ্যাকটিভেটেড চারকোল উৎপাদনে নতুন সম্ভাবনা: মির্জা আজম,,national,business
ফার্স্ট সিকিউরিটি ব্যাংকের সঙ্গে উত্তরা ব্যাংকের চুক্তি সই,,national,business
ইসলামী ব্যাংকের শরীয়াহ কমিটির সভা অনুষ্ঠিত,,national,business
মাস্টারকার্ড গ্লোবাল রিস্ক লিডারশিপ কনফারেন্স অনুষ্ঠিত,,national,business
চাল আমদানিতে এলসি খোলার সময় ৭ দিন বাড়লো,,national,business
ওয়ালটনে ইন্টার্ন করার সুযোগ পেলেন তিন শতাধিক প্রকৌশলী,,national,business
ইসলামী ব্যাংক আর্থ-সামাজিক উন্নয়নে কাজ করছে: মুস্তাফা আনোয়ার,,national,business
‘কৌশলগত কারণে রিজার্ভ চুরির প্রতিবেদন প্রকাশ হচ্ছে না’,,national,business
ওয়ালটনের কম্প্রেসারে ১০ বছরের রিপ্লেসমেন্ট গ্যারান্টি,,national,business
কোক জিরো ও স্প্রাইট জিরো এখন বাংলাদেশে,,national,business
চলতি মাসেই মোটরসাইকেল রফতানি করবে রানার,,national,business
নাইজেরিয়ায় বাণিজ্য মেলায় বাংলাদেশের স্টলে ব্যাপক সাড়া,,national,business
গরমে চলছে ওয়ালটনের স্মার্ট এসি,,national,business
শনিবার খোলা থাকবে ব্যাংক ও শেয়ার বাজার,,national,business
মাস্টারকার্ড ইস্যু করবে ঢাকা ব্যাংক,,national,business
এসএমই উদ্যোক্তারা স্বল্প সুদে ঋণ পাচ্ছেন না: মাতলুব আহমাদ,,national,business
নারী উদ্যোক্তা সমাবেশ ও পণ্য প্রদর্শনী মেলা শুরু বুধবার,,national,business
‘ইয়ারা’র পণ্য বাজারজাত করবে নর্থ-ইস্ট এগ্রোভেট,,national,business
"এসএমই খাতে আগ্রহী তুরস্ক, আমদানি বাড়াতে আলজেরিয়াকে আহ্বান",,national,business
এফটিএ সই করতে একমত বাংলাদেশ ও শ্রীলংকা,,national,business
কাঁচামালের সহজলভ্যতা বিবেচনা করে শিল্প স্থাপনের পরামর্শ শিল্পমন্ত্রীর,,national,business
আন্তর্জাতিক বাজারে কমছে নিত্যপণ্যের দাম,,national,business
গুলশান হামলায় পোশাক শিল্পে ধাক্কা আসতে পারে: বিজিএমইএ,,national,business
ঘোড়াশাল বিদ্যুৎ কেন্দ্রের উৎপাদন বাড়াতে সহায়তা দেবে জিই টেকনোলজি,,national,business
"পেঁয়াজের দাম বাড়ছে কেন, জানে না কেউ",,national,business
হাজারীবাগে ১০ এপ্রিল পর্যন্ত কাঁচা চামড়া নিতে পারবেন ব্যবসায়ীরা,,national,business
শিল্প-কলকারখানায় নিরাপত্তা বাড়ানোর অনুরোধ,,national,business
ট্যাক্স ফাঁকির দায়ে ৯ ইন্স্যুরেন্স কোম্পানিকে এনবিআর’র নোটিশ,,national,business
টেলিযোগাযোগ প্রতিমন্ত্রীর সঙ্গে র‌্যাংকস টেলিকম প্রতিনিধি দলের সৌজন্য সাক্ষাৎ,,national,business
দেশে-বিদেশে সেরা ওয়ালটন,,national,business
বিআইসিএম’র নির্বাহী প্রেসিডেন্ট হিসেবে যোগ দিলেন ড. তারেক,,national,business
ভরিতে সোনার দাম কমেছে ১৫১৬ টাকা,,national,business
অবকাঠামোর উন্নয়নই বাংলাদেশের বৈশ্বিক সক্ষমতা সূচকে এগোনোর কারণ: সিপিডি,,national,business
ঈদের ছু‌টি‌তে ব্যাংক খোলা রাখার দা‌বি এফবিসিসিআই’র,,national,business
৩৬ শতাংশ ব্যাংক সাইবার হামলার ঝুঁকিতে',,national,business
ভোজ্যতেলে ভিটামিন নিশ্চিতে কোম্পানিগুলোকে শিল্পমন্ত্রীর আল্টিমেটাম,,national,business
আইসিসি বাংলাদেশে অনুদান দিল ইসলামী ব্যাংক,,national,business
সিআইপি তালিকায় রয়েছেন যেসব ব্যবসায়ী,,national,business
"মোখার প্রভাবে এলএনজি সরবরাহ বন্ধ, ঢাকায় বিদ্যুৎবিভ্রাট",,national,business
"বাংলাদেশকে সহায়তায় আইএমএফ প্রতিশ্রুতিবদ্ধ, চূড়ান্ত চুক্তি শিগগিরই",,national,business
দেশের প্রথম স্মার্টফোন কারখানা চালু করলো ওয়ালটন,,national,business
কৃষি পুরস্কার দেবে স্ট্যান্ডার্ড চার্টার্ড ব্যাংক,,national,business
ইসলামী ব্যাংকের তিনদিনব্যাপী জাতীয় শোক দিবস পালন,,national,business
এ বছর ৩৩ টাকা কেজি দরে চাল কিনবে সরকার,,national,business
"শিল্প খাতে বাড়ছে সংকট, ঘুরে দাঁড়ানোর কৌশল কী",,national,business
সয়াবিন তেলের সংকট: রমজানে বাজার অস্থির হওয়ার শঙ্কা,,national,business
জাতীয় রফতানি ট্রফি পেলো ৭১ প্রতিষ্ঠান,,national,business
‘খাদ্য নিরাপত্তায় কৃষিভিত্তিক শিল্প স্থাপনে জোর দেওয়া হচ্ছে’,,national,business
পান্ডা সিকিউরিটি কুইজ প্রতিযোগিতার পুরস্কার বিতরণ,,national,business
"বাংলাদেশের রেকর্ড, স্বীকৃতি পেলো আরও ২ সবুজ কারখানা",,national,business
ইউরোপের পোশাকের বাজারে বাংলাদেশের বড় উত্থান,,national,business
বেতন পেলেও বোনাস পাননি ৭৬ শতাংশ পোশাক শ্রমিক,,national,business
"ইন্টেলিজেন্ট ইনভার্টার, ক্যাসেট ও সিলিং টাইপ এসি আনছে ওয়ালটন",,national,business
রেকিট বেনকিজারের পণ্য পাওয়া যাবে সিন্দাবাদ ডট কমে,,national,business
রফতানিতে বড় উল্লম্ফন: ঘুরে দাঁড়াচ্ছে জুতা শিল্প,,national,business
ব্যবসায়ীদের জঙ্গিবাদ বিরোধী কনভেনশন সেপ্টেম্বরে: মাতলুব আহমাদ,,national,business
কেন বন্ধ হলো ঐতিহ্যবাহী ওপেক্স কারখানা?,,national,business
১০ মাস পরে ভারত থেকে আসছে চাল,,national,business
কাল থকে শুরু হচ্ছে ট্রাভেল অ্যান্ড ট্যুরিজম ফেয়ার,,national,business
১৬ আগস্টের মধ্যে বকেয়া পরিশোধ না করলে বন্ধ হবে সিটিসেল!,,national,business
দেশজুড়ে চলছে ওয়ালটনের ডিজিটাল ক্যাম্পেইন,,national,business
আটা-ময়দার দাম কমবে কবে?,,national,business
প্রতিযোগিতায় টিকতে পণ্যের মান নিশ্চিতের বিকল্প নেই: শিল্পমন্ত্রী,,national,business
টেকসই পোশাক শিল্প গড়তে ঢাকায় বসছে আন্তর্জাতিক সম্মেলন,,national,business
চার প্রক্রিয়ায় প্রক্রিয়াজত কাঁচা পাট রফতানি করা যাবে,,national,business
"বাজারে কমেছে শীতের সবজি, বাড়ছে দাম",,national,business
"লকডাউনে গার্মেন্টস খোলা, পায়ে হেঁটে আসবে শ্রমিকরা",,national,business
ডেসকো বোর্ডের ৫০০তম বোর্ড সভা অনুষ্ঠিত,,national,business
এলডিসি উত্তরণে মানবসম্পদের সক্ষমতা বাড়ানো প্রয়োজন: বাণিজ্য উপদেষ্টা,,national,business
এশিয়ায় প্রথম কার্বন ফাইবার টাওয়ার স্থাপন করবে ইডটকো,,national,business
হোমট্রেড ভ্যাসেল মার্কেন্টাইল-৩১ এর যাত্রা শুরু,,national,business
অবকাঠামো খাতে বছরে ২০ বিলিয়ন ডলার বিনিয়োগ চায় ঢাকা চেম্বার,,national,business
বিশ্বের বেসরকারি উন্নয়ন সংস্থার শীর্ষে ‘ব্র্যাক’,,national,business
বৃহস্পতিবার সন্ধ্যা থেকে ২৪ ঘণ্টা গ্যাস থাকবে না যেসব এলাকায়,,national,business
‘বিড়ি শিল্প চলছে শিশু দাসে’,,national,business
ল্যাপটপ আনছে ওয়ালটন,,national,business
দ্রুত কোটিপতি হওয়ার মানসিকতা পরিহারের আহ্বান শিল্পমন্ত্রীর,,national,business
পোশাক কারখানার উন্নয়ন হলেও পণ্যের দাম বাড়েনি: বাণিজ্যমন্ত্রী,,national,business
ইসলামী ব্যাংকের ২০ শতাংশ নগদ লভ্যাংশ অনুমোদন,,national,business
আন্তর্জাতিক ফোরামে অংশ নিতে চীন গেছেন শিল্পমন্ত্রী,,national,business
বাংলাদেশ-নেপাল বাণিজ্য সচিব পর্যায়ের বৈঠক শুরু মঙ্গলবার,,national,business
গ্লোবাল পরিবারে যুক্ত হল ফিলিপস মনিটর,,national,business
বাণিজ্য মেলায় ওয়ালটন হোম অ্যাপ্লায়েন্স পণ্যের দাম কমলো,,national,business
হংকংকে বাংলাদেশের ইকনোমিক জোনে বিনিয়োগের আহ্বান বাণিজ্যমন্ত্রীর,,national,business
সব ব্যাংকে শিশু দিবাযত্ন কেন্দ্র তৈরির নির্দেশনা,,national,business
কমনওয়েলথ সম্মেলনে যোগ দিতে লন্ডনে গেছেন বাণিজ্যমন্ত্রী,,national,business
বাজেটে কর্পোরেট কর কমানোর প্রস্তাব বিজিএমইএ’র,,national,business
তামাকে কার্যকর করারোপের দাবি তামাক বিরোধী সংগঠনের,,national,business
টুঙ্গিপাড়ায় ইসলামী ব্যাংকের ৩১৮তম শাখা উদ্বোধন,,national,business
চীনে শুল্কমুক্ত সুবিধা চান বাংলাদেশি ব্যবসায়ীরা,,national,business
এবার ফারমার্স ব্যাংকের এমডিকে অপসারণ,,national,business
গ্যাসের দাম বাড়লে অর্থনীতি হুমকিতে পড়বে: ডিসিসিআই,,national,business
"আপটাভুক্ত দেশে ১০,৬৭৭টি পণ্যে শুল্কমুক্ত সুবিধা পাবে বাংলাদেশ",,national,business
শিগগির সৌদি আরবের সাথে পুঁজি বিনিয়োগ চুক্তি: শিল্পমন্ত্রী,,national,business
আইবিসিসিআই-এর চেয়ারম্যান পুনর্নির্বাচিত হলেন আবদুল মাতলুব আহমাদ,,national,business
এসডিজি অর্জনে উন্নত বিশ্বের সহযোগিতা প্রয়োজন: বাণিজ্যমন্ত্রী,,national,business
"বসুন্ধরা, সামিট, নাসা, ওরিয়ন ও বেক্সিমকোর ব্যাংক হিসাব তলব",,national,business
"ভোলা থেকে জুনের মধ্যে গ্যাস পাওয়ার আশা, স্বস্তি ফিরবে শিল্পে",,national,business
বাংলাদেশের বন্দর ব্যবহারের আগ্রহ নেপালের,,national,business
ভারত থেকে আরও ৫০ হাজার টন চাল আমদানির সিদ্ধান্ত,,national,business
গ্লোবাল ব্র্যান্ড বাজারে আনলো শার্পের নতুন ফটোকপিয়ার,,national,business
"এনবিআর বিলুপ্তির প্রতিবাদে লাগাতার ‘অসহযোগ কর্মসূচি’, শনিবার থেকে পূর্ণাঙ্গ কর্মবিরতি",,national,business
আবারও ডিসিসিআই’র সভাপতি আবুল কাসেম,,national,business
শিক্ষার্থীদের জন্য ওয়ালটনের নতুন মডেলের ল্যাপটপ,,national,business
ভোজ্য তেলে ভিটামিন ‘এ’: সময়সীমা ৭২ ঘণ্টা,,national,business
দেশি টাইলস ও স্যানিটারি পণ্যে শুল্ক প্রত্যাহার চায় বিসিএমইএ,,national,business
‘বাংলাদেশ-রাশিয়া দ্বিপক্ষীয় বাণিজ্য সম্ভাবনা' বিষয়ক আলোচনা সভা অনুষ্ঠিত,,national,business
বস্ত্র ও পাটকলের আধুনিকায়নে চীনের প্রস্তাব,,national,business
মোবাইল ফোন শিল্পের প্রধান সমস্যা শুল্ক বৈষম্য,,national,business
ভেজাল তেল বিক্রি বন্ধে ম্যাজিস্ট্রেটদের সঙ্গে যোগাযোগ বাড়ানোর নির্দেশ,,national,business
সমুদ্রগামী জাহাজ শিল্পকে প্রণোদনা দিতে সরকারের প্রতি আহ্বান,,national,business
জাতীয় উৎপাদনশীলতা দিবস আজ,,national,business
বাংলাদেশে পরিবেশবান্ধব ট্যানারি স্থাপন করবে ইতালি: শিল্পমন্ত্রী,,national,business
কোনও ব্যাংক বন্ধ করা হবে না: অর্থ উপদেষ্টা,,national,business
ঈদে ওয়ালটনের শতাধিক মডেলের হোম অ্যাপ্লায়েন্স পণ্য,,national,business
এনবিআরের কর্মকর্তা-কর্মচারীদের নিজ দফতরে উপস্থিতি ও সেবা নিশ্চিতের নির্দেশ,,national,business
জ্বালানি তেলের দাম কমানোয় অর্থনীতিতে চাপ কমবে: এফবিসিসিআই,,national,business
বগুড়ায় ২৭৮ শিক্ষার্থীকে বৃত্তি দিল ইসলামী ব্যাংক,,national,business
‘বর্ধিত ভ্যাট প্রত্যাহার না হলে খাদ্যপণ্যশিল্প মুখ থুবড়ে পড়বে’,,national,business
পাট ক্রয়ে মান বজায় রাখার আহ্বান মির্জা আজমের,,national,business
বাজারে নোকিয়া-২১৬ মডেলের মোবাইল সেট,,national,business
ইসলামী ব্যাংকের আমানত ৬৫ হাজার কোটি ও বিনিয়োগ ৫৭ হাজার কোটি টাকা,,national,business
পথচারীদের মাঝে ইসলামী ব্যাংকের ইফতার বিতরণ,,national,business
বাজার পরিস্থিতি নিয়ে রুদ্ধদ্বার বৈঠকে বাণিজ্য মন্ত্রণালয়,,national,business
বাজাজের ‘কিউট’ আনছে রানার,,national,business
নর্থ-ইস্ট কানেকটিভিটি সম্মেলনে যোগ দেবেন শিল্পমন্ত্রী,,national,business
হাফিজুর রহমান খান আইবিএফবির সভাপতি পুনর্নির্বাচিত,,national,business
অর্থনৈতিক সংস্কারে সরকারকে পরামর্শ দেওয়ার আহ্বান শিল্পমন্ত্রীর,,national,business
আফ্রিকাবাসীর দৃষ্টি কেড়েছে ওয়ালটন পণ্য,,national,business
খাদ্য উপদেষ্টার সঙ্গে রাশিয়ার রাষ্ট্রদূতের সৌজন্য সাক্ষাৎ,,national,business
পদত্যাগ করলেন এবি ব্যাংকের চেয়ারম্যানসহ তিন জন,,national,business
সালমান এফ রহমান আইএফআইসি ব্যাংকের চেয়ারম্যান পুনঃনির্বাচিত,,national,business
"রফতানি কমছে, ভরসা কেবল রেমিট্যান্স",,national,business
১৩ সংখ্যার ভ্যাট নিবন্ধন না থাকলে এলসি খোলা যাবে না,,national,business
আজ থেকে ট্রাকে পণ্য বিক্রি করবে টিসিবি,,national,business
‘পরিকল্পিত এলাকায় শিল্প-কারখানা স্থাপন করলে গ্যাস-বিদ্যুতের সংকট হবে না’,,national,business
এ সপ্তাহেও নিত্যপণ্যের বাজারে সুখবর নেই,,national,business
সাত মাসে ওয়ালটনের ফ্রিজ বিক্রি বেড়েছে ৩০ শতাংশ,,national,business
এলডিসি থেকে উত্তরণের পরও শুল্ক ও কোটামুক্ত সুবিধা দেবে ডব্লিউটিও,,national,business
সোলিগ বাংলাদেশের মালিকানা পরিবর্তন,,national,business
আইএমএফের ঋণের দ্বিতীয় কিস্তি পেতে বাধা যেখানে,,national,business
বাজারে ওয়ালটনের নতুন মডেলের হোম অ্যাপ্লায়েন্স,,national,business
নিউইয়র্ক বিশ্ববিদ্যালয়ের প্রতিবেদন বিভ্রান্তিকর: বাণিজ্যমন্ত্রী,,national,business
সরবরাহ বাড়িয়ে দাম নিয়ন্ত্রণের চেষ্টা চলছে: বাণিজ্য উপদেষ্টা,,national,business
গত ১১ মাসে ৪ কোটি টাকা জরিমানা: শিল্পমন্ত্রী,,national,business
এসডিজি অর্জনে সবার সহযোগিতা প্রয়োজন: পরিকল্পনামন্ত্রী,,national,business
"ক্ষমতায় তালেবান, বাংলাদেশের সঙ্গে বাণিজ্যের কী হবে?",,national,business
"মুরগির দ্বিগুণ দাম শিম-কাঁচামরিচের, ক্রেতাদের হাঁসফাঁস",,national,business
ভুয়া স্ক্রিনশট ছড়িয়ে এনবিআরের মধ্যে বিভ্রান্তি: আইনগত ব্যবস্থা নেওয়ার হুঁশিয়ারি,,national,business
বস্তায় লিখতে হবে চালের জাত ও দাম: কতটা প্রস্তুত ব্যবসায়ীরা?,,national,business
২০১৬ সালকে ‘সেবাবর্ষ’ ঘোষণা ওয়ালটনের,,national,business
চেয়ারম্যানের ‍মৃত্যুতে ওয়ালটন পরিবারে শোক,,national,business
ইতিহাসের সর্বোচ্চ দাম স্বর্ণের,,national,business
চতুর্থ শিল্প বিপ্লব মোকাবিলায় কতটা সক্ষম বাংলাদেশ,,national,business
ঝুঁকিপূর্ণ কাজে নিয়োজিত অধিকাংশ শ্রমিকের জীবন বীমা নেই,,national,business
২৬ লাখ মানুষ নির্মাণ শিল্পে কর্মরত,,national,business
লাইটার জাহাজের ভাড়া বাড়লো ১৫ শতাংশ,,national,business
‘কারখানায় দুর্ঘটনা হলেই মালিকদের দোষারোপ করা হয়’,,national,business
রংপুরে সুবিধা বঞ্চিত শিক্ষার্থীদের বৃত্তি দিল ইসলামী ব্যাংক,,national,business
নির্মাণে নতুন দিন আনছে কংক্রিট ব্লক,,national,business
এয়ারলাইন কো-ব্র্যান্ডেড প্রিপেইড কার্ড আনলো ইস্টার্ন ব্যাংক,,national,business
কক্সবাজারে ৩১ ডিসেম্বর থেকে মেগা বিচ কার্নিভ্যাল,,national,business
বাংলাদেশে আরও বিনিয়োগে আগ্রহী ব্রিটেন: তোফায়েল আহমেদ,,national,business
ইসলামী ব্যাংক খুলনা জোনের ব্যবসায় উন্নয়ন সম্মেলন অনুষ্ঠিত,,national,business
‘এসএমই ফাউন্ডেশনকে ৫ হাজার কোটি টাকা বরাদ্দ দেওয়া উচিত’,,national,business
এক বছরে দেশে অতিদারিদ্র্যের হার কমেছে প্রায় এক শতাংশ,,national,business
"দুর্গাপূজায় গার্মেন্টস খোলা, তবে ছুটি পাবেন সনাতন ধর্মাবলম্বীরা",,national,business
মাহমুদুল হাসান বিজেএমসি’র নতুন চেয়ারম্যান,,national,business
বিকেএমইএ নির্বাচনের তফসিল ঘোষণা,,national,business
"জব্দ করা ব্যাংক অ্যাকাউন্ট খুলে দেওয়ার দাবি এস আলমের, ‘শ্রমিক অসন্তোষের’ হুমকি",,national,business
৭৯ কারখানায় এবার ঈদের ছুটি হচ্ছে না,,national,business
মান বিষয়ক সহায়তা চুক্তি করতে সৌদি আরব গেছেন শিল্পমন্ত্রী,,national,business
শুল্ক বৈষম্যের কারণে বিনিয়োগে নিরুৎসাহিত উদ্যোক্তারা,,national,business
লকডাউনে বিসিকের কার্যক্রম অব্যাহত থাকবে,,national,business
অনলাইনে ভ্যাট রিটার্ন দেওয়ার সময়সীমা ১৯ জুন পর্যন্ত বাড়লো,,national,business
ইসলামী ব্যাংকের শরী’আহ্ সুপারভাইজরি কমিটির সভা অনুষ্ঠিত,,national,business
বাজার দখলে কৌশলগত পরিকল্পনা গ্রহণ করেছে ওয়ালটন,,national,business
কোরবানিতে ফ্রিজের চাহিদা মেটাতে প্রস্তুত ওয়ালটন,,national,business
বাণিজ্য মেলায় ওয়ালটন প্যাভিলিয়নে ক্রেতাদের ভিড়,,national,business
আইএফআইসি ব্যাংকের ৩৯তম এজিএম অনুষ্ঠিত,,national,business
শিক্ষার্থীদের আন্দোলনের সঙ্গে কেন্দ্রীয় ব্যাংকের কর্মকর্তার একাত্মতা ঘোষণা,,national,business
মার্সেল পণ্যের বিক্রি বেড়েছে ৫০ শতাংশ,,national,business
